feature,integer,const
hate_neigh,1,b
normal_neigh,1,b
statuses_count,1,p
favorites_count,1,p
listed_count,1,p
science_empath,-1,
horror_empath,-1,
sadness_empath,-1,
internet_empath,-1,
college_empath,-1,
attractive_empath,-1,
technology_empath,-1,
messaging_empath,-1,
surprise_empath,-1,
furniture_empath,-1,
restaurant_empath,-1,
domestic_work_empath,-1,
art_empath,-1,
sympathy_empath,-1,
anger_empath,-1,
neglect_empath,-1,
farming_empath,-1,
beauty_empath,-1,
white_collar_job_empath,-1,
fabric_empath,-1,
confusion_empath,-1,
contentment_empath,-1,
night_empath,-1,
ridicule_empath,-1,
health_empath,-1,
zest_empath,-1,
medical_emergency_empath,-1,
sports_empath,-1,
trust_empath,-1,
cleaning_empath,-1,
divine_empath,-1,
urban_empath,-1,
anonymity_empath,-1,
hipster_empath,-1,
ocean_empath,-1,
crime_empath,-1,
play_empath,-1,
home_empath,-1,
anticipation_empath,-1,
children_empath,-1,
cold_empath,-1,
competing_empath,-1,
vacation_empath,-1,
work_empath,-1,
real_estate_empath,-1,
sleep_empath,-1,
cheerfulness_empath,-1,
fire_empath,-1,
help_empath,-1,
superhero_empath,-1,
fun_empath,-1,
blue_collar_job_empath,-1,
music_empath,-1,
fashion_empath,-1,
sentiment,-1,n
tweet number,1,p
retweet number,1,p
c_favorites_count,-1,p
c_sentiment,-1,n
c_status length,-1,p
c_baddies,-1,p
c_mentions,-1,p
c_noise_empath,-1,
c_magic_empath,-1,
c_politics_empath,-1,
c_lust_empath,-1,
c_communication_empath,-1,
c_sleep_empath,-1,
c_leisure_empath,-1,
c_affection_empath,-1,
c_children_empath,-1,
c_rage_empath,-1,
c_hipster_empath,-1,
c_negotiate_empath,-1,
c_work_empath,-1,
c_social_media_empath,-1,
c_hygiene_empath,-1,
c_aggression_empath,-1,
c_exercise_empath,-1,
c_dispute_empath,-1,
c_music_empath,-1,
c_ridicule_empath,-1,
c_warmth_empath,-1,
c_prison_empath,-1,
c_terrorism_empath,-1,
c_real_estate_empath,-1,
c_furniture_empath,-1,
c_liquid_empath,-1,
c_dominant_heirarchical_empath,-1,
c_school_empath,-1,
c_joy_empath,-1,
c_cleaning_empath,-1,
c_government_empath,-1,
c_vehicle_empath,-1,
c_money_empath,-1,
c_science_empath,-1,
c_superhero_empath,-1,
c_fire_empath,-1,
c_home_empath,-1,
c_rural_empath,-1,
c_fight_empath,-1,
c_alcohol_empath,-1,
c_death_empath,-1,
c_shopping_empath,-1,
followers_count,0,d
betweenness,0,d
time_diff,0,d
time_diff_median,0,d
c_time_diff_median,0,d
c_eigenvector,0,d
