episode,timestep,reward
29,800,27.5517
61,1600,24.5312
90,2400,25.7241
118,3200,30.0357
140,4000,36.0
159,4800,43.3684
176,5600,43.0588
193,6400,50.2941
201,7200,95.75
210,8000,93.1111
216,8800,114.8333
221,9600,159.0
226,10400,162.8
231,11200,162.0
236,12000,178.6
241,12800,134.6
244,13600,297.6667
247,14400,221.3333
251,15200,191.25
254,16000,233.0
257,16800,312.6667
260,17600,275.3333
263,18400,273.6667
266,19200,202.6667
269,20000,375.6667
272,20800,220.6667
275,21600,226.0
279,22400,258.0
282,23200,233.0
285,24000,310.0
288,24800,222.0
292,25600,188.5
296,26400,228.0
299,27200,283.0
301,28000,329.0
304,28800,227.0
307,29600,256.0
310,30400,317.3333
312,31200,322.0
315,32000,364.6667
318,32800,262.3333
320,33600,238.5
323,34400,338.6667
325,35200,345.0
327,36000,376.5
331,36800,260.5
334,37600,261.3333
337,38400,260.0
339,39200,336.0
342,40000,322.0
344,40800,297.5
347,41600,333.3333
349,42400,365.0
351,43200,400.0
354,44000,301.6667
356,44800,369.5
358,45600,400.0
360,46400,400.0
362,47200,311.5
364,48000,336.0
367,48800,365.3333
369,49600,400.0
371,50400,396.0
373,51200,400.0
376,52000,274.3333
379,52800,206.3333
382,53600,324.0
384,54400,259.5
387,55200,317.6667
390,56000,301.3333
392,56800,395.5
394,57600,338.5
396,58400,338.5
400,59200,258.0
403,60000,302.3333
405,60800,400.0
408,61600,260.0
411,62400,260.6667
414,63200,273.6667
417,64000,259.6667
419,64800,380.0
422,65600,300.3333
424,66400,251.5
427,67200,311.3333
430,68000,316.0
433,68800,262.0
435,69600,345.0
437,70400,340.5
439,71200,381.5
441,72000,390.0
443,72800,400.0
445,73600,400.0
447,74400,400.0
450,75200,372.0
452,76000,400.0
454,76800,400.0
456,77600,400.0
459,78400,231.0
461,79200,302.5
465,80000,273.25
467,80800,313.0
470,81600,260.0
472,82400,319.5
475,83200,328.6667
477,84000,400.0
479,84800,400.0
481,85600,398.0
484,86400,293.3333
486,87200,294.0
488,88000,400.0
491,88800,361.3333
493,89600,336.0
495,90400,400.0
497,91200,400.0
501,92000,205.75
505,92800,187.5
509,93600,234.25
512,94400,240.0
515,95200,293.6667
517,96000,400.0
519,96800,299.5
522,97600,308.0
525,98400,306.3333
527,99200,334.0
529,100000,400.0
