episode,timestep,reward
34,800,-17.7941
70,1600,-21.1667
545,2400,-0.7453
1036,3200,-0.3666
1526,4000,-0.3327
1993,4800,-0.4582
2510,5600,-0.3849
2994,6400,-0.312
3476,7200,-0.3589
3979,8000,-0.3897
4473,8800,-0.3522
4965,9600,-0.4106
5460,10400,-0.3717
5954,11200,-0.2915
6460,12000,-0.3755
6947,12800,-0.3552
7436,13600,-0.3947
7933,14400,-0.3984
8416,15200,-0.4555
8916,16000,-0.456
9396,16800,-0.3812
9871,17600,-0.3558
10356,18400,-0.4186
10842,19200,-0.3868
11341,20000,-0.4208
11832,20800,-0.3483
12335,21600,-0.4036
12828,22400,-0.432
13347,23200,-0.2871
13835,24000,-0.4221
14333,24800,-0.4719
14797,25600,-0.4677
15280,26400,-0.2899
15760,27200,-0.3354
16248,28000,-0.4119
16741,28800,-0.3692
17226,29600,-0.4557
17717,30400,-0.3809
18213,31200,-0.3387
18707,32000,-0.417
19198,32800,-0.3503
19701,33600,-0.3976
20197,34400,-0.3831
20694,35200,-0.332
21173,36000,-0.4656
21665,36800,-0.4898
22155,37600,-0.4551
22643,38400,-0.3586
23119,39200,-0.4181
23615,40000,-0.3669
24114,40800,-0.3607
24600,41600,-0.4568
25097,42400,-0.3944
25598,43200,-0.3772
26106,44000,-0.376
26590,44800,-0.405
27082,45600,-0.4431
27549,46400,-0.4625
28040,47200,-0.3483
28531,48000,-0.3829
29019,48800,-0.3996
29516,49600,-0.3561
30005,50400,-0.3108
30505,51200,-0.37
31009,52000,-0.4385
31508,52800,-0.3828
32000,53600,-0.4248
32493,54400,-0.4665
32992,55200,-0.4329
33495,56000,-0.3797
33975,56800,-0.4562
34464,57600,-0.3763
34976,58400,-0.2715
35476,59200,-0.29
35977,60000,-0.3034
36458,60800,-0.5447
36964,61600,-0.4091
37456,62400,-0.3902
37954,63200,-0.4398
38458,64000,-0.3472
38949,64800,-0.4175
39437,65600,-0.3873
39925,66400,-0.4119
40397,67200,-0.3369
40902,68000,-0.3921
41390,68800,-0.5041
41887,69600,-0.4105
42369,70400,-0.4772
42874,71200,-0.299
43368,72000,-0.3057
43855,72800,-0.3778
44331,73600,-0.5399
44840,74400,-0.3536
45332,75200,-0.3415
45829,76000,-0.4406
46305,76800,-0.4685
46802,77600,-0.33
47299,78400,-0.4427
47782,79200,-0.3582
48272,80000,-0.4837
48754,80800,-0.4108
49255,81600,-0.4671
49746,82400,-0.4114
50242,83200,-0.496
50742,84000,-0.464
51238,84800,-0.4254
51730,85600,-0.4126
52209,86400,-0.4008
52702,87200,-0.3671
53202,88000,-0.436
53697,88800,-0.3253
54211,89600,-0.3463
54698,90400,-0.4702
55203,91200,-0.3644
55696,92000,-0.4909
56197,92800,-0.3613
56692,93600,-0.3273
57186,94400,-0.4939
57672,95200,-0.5
58158,96000,-0.4198
58650,96800,-0.3069
59150,97600,-0.366
59635,98400,-0.4495
60136,99200,-0.3333
60641,100000,-0.3347
61138,100800,-0.33
61628,101600,-0.4714
62128,102400,-0.356
62622,103200,-0.3178
63114,104000,-0.2114
63600,104800,-0.43
64098,105600,-0.4438
64593,106400,-0.3758
65071,107200,-0.3849
65570,108000,-0.4008
66068,108800,-0.4137
66551,109600,-0.4472
67042,110400,-0.4379
67532,111200,-0.4735
68031,112000,-0.3707
68526,112800,-0.4081
69001,113600,-0.3874
69485,114400,-0.4938
69964,115200,-0.4802
70441,116000,-0.4109
70927,116800,-0.3395
71423,117600,-0.2843
71918,118400,-0.3657
72426,119200,-0.2933
72932,120000,-0.3162
73441,120800,-0.4126
73922,121600,-0.3805
74416,122400,-0.4008
74915,123200,-0.2986
75419,124000,-0.4405
75923,124800,-0.5119
76418,125600,-0.4121
76910,126400,-0.4085
77406,127200,-0.4052
77880,128000,-0.4346
78372,128800,-0.3801
78866,129600,-0.5425
79352,130400,-0.4856
79852,131200,-0.366
80335,132000,-0.4099
80827,132800,-0.4715
81338,133600,-0.3444
81831,134400,-0.3813
82317,135200,-0.463
82809,136000,-0.4024
83298,136800,-0.4172
83792,137600,-0.4251
84301,138400,-0.387
84784,139200,-0.4348
85264,140000,-0.4583
85768,140800,-0.3532
86265,141600,-0.4205
86761,142400,-0.3992
87251,143200,-0.4204
87756,144000,-0.3525
88257,144800,-0.3752
88757,145600,-0.326
89256,146400,-0.3627
89756,147200,-0.398
90246,148000,-0.3245
90731,148800,-0.3649
91225,149600,-0.4858
91713,150400,-0.3996
92205,151200,-0.372
92690,152000,-0.3938
93180,152800,-0.4041
93680,153600,-0.488
94171,154400,-0.3951
94673,155200,-0.259
95138,156000,-0.4237
95636,156800,-0.3815
96121,157600,-0.2701
96600,158400,-0.4927
97085,159200,-0.5134
97577,160000,-0.4492
98073,160800,-0.3468
98576,161600,-0.3121
99061,162400,-0.4165
99571,163200,-0.4059
100059,164000,-0.4303
100562,164800,-0.2823
101036,165600,-0.384
101556,166400,-0.35
102043,167200,-0.4189
102566,168000,-0.3059
103057,168800,-0.387
103536,169600,-0.3591
104019,170400,-0.4928
104513,171200,-0.3745
104998,172000,-0.3814
105489,172800,-0.4868
105992,173600,-0.4314
106480,174400,-0.4242
106992,175200,-0.4473
107476,176000,-0.343
107953,176800,-0.413
108448,177600,-0.4788
108948,178400,-0.364
109426,179200,-0.4247
109927,180000,-0.3633
110429,180800,-0.3586
110926,181600,-0.3803
111416,182400,-0.3102
111898,183200,-0.4398
112380,184000,-0.3776
112881,184800,-0.4132
113384,185600,-0.3201
113854,186400,-0.4383
114343,187200,-0.364
114803,188000,-0.4783
115292,188800,-0.3681
115775,189600,-0.3416
116267,190400,-0.3943
116759,191200,-0.4878
117264,192000,-0.4574
117733,192800,-0.5586
118228,193600,-0.4364
118744,194400,-0.4186
119239,195200,-0.3455
119742,196000,-0.3002
120232,196800,-0.4184
120719,197600,-0.501
121211,198400,-0.4289
121701,199200,-0.449
122203,200000,-0.3884
122695,200800,-0.3333
123171,201600,-0.4328
123659,202400,-0.4057
124156,203200,-0.3823
124653,204000,-0.3763
125139,204800,-0.4074
125617,205600,-0.3556
126110,206400,-0.3651
126585,207200,-0.3979
127085,208000,-0.278
127583,208800,-0.3032
128063,209600,-0.3875
128541,210400,-0.4268
129047,211200,-0.4012
129545,212000,-0.4458
130032,212800,-0.4805
130543,213600,-0.2857
131052,214400,-0.3517
131546,215200,-0.3745
132042,216000,-0.4052
132542,216800,-0.376
133031,217600,-0.3108
133502,218400,-0.4947
134011,219200,-0.3674
134498,220000,-0.4148
134995,220800,-0.4266
135491,221600,-0.377
135981,222400,-0.3878
136467,223200,-0.4465
136963,224000,-0.373
137452,224800,-0.4151
137940,225600,-0.4385
138437,226400,-0.3481
138926,227200,-0.3374
139413,228000,-0.3634
139899,228800,-0.3292
140405,229600,-0.3696
140896,230400,-0.3768
141392,231200,-0.379
141908,232000,-0.3663
142401,232800,-0.3631
142897,233600,-0.373
143385,234400,-0.4467
143889,235200,-0.379
144378,236000,-0.3579
144867,236800,-0.411
145362,237600,-0.3879
145858,238400,-0.4012
146342,239200,-0.4979
146829,240000,-0.3676
147322,240800,-0.3022
147818,241600,-0.4234
148302,242400,-0.407
148801,243200,-0.4429
149302,244000,-0.479
149792,244800,-0.3388
150302,245600,-0.3745
150804,246400,-0.3307
151307,247200,-0.4036
151795,248000,-0.4488
152278,248800,-0.3892
152776,249600,-0.4498
153261,250400,-0.468
153759,251200,-0.4237
154261,252000,-0.4522
154760,252800,-0.3547
155250,253600,-0.3673
155742,254400,-0.4268
156244,255200,-0.4044
156733,256000,-0.4417
157235,256800,-0.3406
157734,257600,-0.3988
158235,258400,-0.4271
158723,259200,-0.4098
159225,260000,-0.4303
159708,260800,-0.3747
160192,261600,-0.3843
160688,262400,-0.4153
161181,263200,-0.4077
161675,264000,-0.4393
162158,264800,-0.3064
162670,265600,-0.3945
163147,266400,-0.3941
163649,267200,-0.3785
164150,268000,-0.4152
164625,268800,-0.4547
165120,269600,-0.3596
165624,270400,-0.3492
166118,271200,-0.3097
166627,272000,-0.3458
167119,272800,-0.3252
167608,273600,-0.4213
168110,274400,-0.4203
168603,275200,-0.5152
169104,276000,-0.3493
169603,276800,-0.4309
170090,277600,-0.3676
170572,278400,-0.5062
171077,279200,-0.3465
171581,280000,-0.4087
172073,280800,-0.3598
172548,281600,-0.4779
173042,282400,-0.3907
173542,283200,-0.384
174018,284000,-0.4349
174508,284800,-0.3918
175004,285600,-0.4335
175502,286400,-0.4357
176005,287200,-0.33
176490,288000,-0.3773
176984,288800,-0.3178
177486,289600,-0.3825
177980,290400,-0.3988
178476,291200,-0.4536
178970,292000,-0.3563
179465,292800,-0.3697
179969,293600,-0.3333
180483,294400,-0.3599
180977,295200,-0.2611
181466,296000,-0.4908
181959,296800,-0.3895
182458,297600,-0.3888
182950,298400,-0.4593
183455,299200,-0.404
183949,300000,-0.4008
184426,300800,-0.4172
184911,301600,-0.3526
185424,302400,-0.4503
185923,303200,-0.4369
186407,304000,-0.4153
186896,304800,-0.4274
187381,305600,-0.4948
187881,306400,-0.42
188376,307200,-0.4121
188871,308000,-0.3091
189350,308800,-0.4802
189842,309600,-0.3557
190326,310400,-0.374
190821,311200,-0.3333
191310,312000,-0.3804
191794,312800,-0.4132
192285,313600,-0.391
192794,314400,-0.334
193296,315200,-0.2928
193790,316000,-0.4372
194283,316800,-0.3489
194778,317600,-0.3939
195283,318400,-0.2733
195780,319200,-0.3642
196279,320000,-0.3928
196767,320800,-0.3648
197249,321600,-0.3776
197740,322400,-0.4094
198240,323200,-0.48
198735,324000,-0.3838
199243,324800,-0.374
199728,325600,-0.3876
200241,326400,-0.3879
200739,327200,-0.3052
201232,328000,-0.3854
201741,328800,-0.4126
202229,329600,-0.4549
202722,330400,-0.3976
203227,331200,-0.3842
203702,332000,-0.4232
204190,332800,-0.459
204680,333600,-0.4286
205182,334400,-0.3048
205675,335200,-0.3185
206171,336000,-0.371
206658,336800,-0.3593
207141,337600,-0.4182
207622,338400,-0.3555
208109,339200,-0.3922
208596,340000,-0.4764
209097,340800,-0.3992
209585,341600,-0.5246
210069,342400,-0.4008
210570,343200,-0.3952
211060,344000,-0.4245
211555,344800,-0.4222
212041,345600,-0.2243
212518,346400,-0.4654
213001,347200,-0.4555
213509,348000,-0.311
214026,348800,-0.3578
214532,349600,-0.3498
215026,350400,-0.4534
215509,351200,-0.3375
215999,352000,-0.4
216496,352800,-0.4044
216981,353600,-0.4433
217482,354400,-0.3493
217984,355200,-0.4183
218491,356000,-0.4004
218979,356800,-0.4713
219468,357600,-0.4438
219960,358400,-0.4289
220459,359200,-0.3126
220959,360000,-0.404
221459,360800,-0.424
221965,361600,-0.3557
222456,362400,-0.4216
222942,363200,-0.4568
223419,364000,-0.4885
223914,364800,-0.3919
224419,365600,-0.3604
224921,366400,-0.4582
225434,367200,-0.46
225926,368000,-0.4289
226448,368800,-0.3295
226958,369600,-0.2804
227453,370400,-0.3859
227950,371200,-0.4769
228433,372000,-0.3768
228924,372800,-0.3747
229415,373600,-0.389
229899,374400,-0.4318
230405,375200,-0.2826
230894,376000,-0.4397
231389,376800,-0.3737
231887,377600,-0.4759
232381,378400,-0.4089
232870,379200,-0.409
233377,380000,-0.4122
233872,380800,-0.4667
234374,381600,-0.3526
234856,382400,-0.4046
235338,383200,-0.3237
235818,384000,-0.3958
236298,384800,-0.3646
236804,385600,-0.2708
237298,386400,-0.4534
237795,387200,-0.4386
238280,388000,-0.3258
238777,388800,-0.3722
239275,389600,-0.3956
239757,390400,-0.4336
240257,391200,-0.392
240739,392000,-0.473
241261,392800,-0.3506
241749,393600,-0.4242
242230,394400,-0.4844
242720,395200,-0.498
243210,396000,-0.5122
243716,396800,-0.3953
244195,397600,-0.4384
244700,398400,-0.3703
245197,399200,-0.3501
245689,400000,-0.3455
246200,400800,-0.3992
246677,401600,-0.4927
247190,402400,-0.3762
247688,403200,-0.3193
248184,404000,-0.4597
248686,404800,-0.3685
249208,405600,-0.364
249699,406400,-0.4196
250187,407200,-0.4016
250687,408000,-0.284
251186,408800,-0.4048
251699,409600,-0.3723
252192,410400,-0.4158
252686,411200,-0.3927
253168,412000,-0.4398
253664,412800,-0.3387
254146,413600,-0.3382
254646,414400,-0.344
255136,415200,-0.3531
255629,416000,-0.4016
256135,416800,-0.419
256632,417600,-0.4004
257139,418400,-0.4083
257642,419200,-0.3579
258150,420000,-0.4193
258634,420800,-0.3058
259121,421600,-0.3224
259623,422400,-0.3984
260098,423200,-0.4463
260598,424000,-0.382
261086,424800,-0.3545
261570,425600,-0.3988
262070,426400,-0.362
262560,427200,-0.2531
263051,428000,-0.4786
263552,428800,-0.4491
264043,429600,-0.387
264547,430400,-0.4345
265046,431200,-0.3788
265547,432000,-0.3373
266034,432800,-0.3778
266530,433600,-0.4274
267017,434400,-0.4538
267519,435200,-0.4402
267993,436000,-0.4873
268490,436800,-0.4487
268981,437600,-0.5479
269473,438400,-0.4167
269968,439200,-0.3152
270463,440000,-0.396
270969,440800,-0.4229
271473,441600,-0.3234
271967,442400,-0.415
272452,443200,-0.468
272945,444000,-0.4523
273443,444800,-0.4157
273947,445600,-0.3611
274435,446400,-0.3258
274922,447200,-0.4805
275409,448000,-0.3039
275892,448800,-0.4803
276387,449600,-0.3354
276883,450400,-0.494
277381,451200,-0.5161
277868,452000,-0.2669
278341,452800,-0.4376
278840,453600,-0.4208
279333,454400,-0.3428
279812,455200,-0.4196
280296,456000,-0.4442
280801,456800,-0.3861
281290,457600,-0.3681
281769,458400,-0.4134
282254,459200,-0.532
282760,460000,-0.4249
