episode,timestep,reward
1,800,-400.0
3,1600,-400.0
5,2400,-400.0
7,3200,-400.0
9,4000,-400.0
11,4800,-400.0
13,5600,-400.0
15,6400,-400.0
17,7200,-400.0
19,8000,-400.0
21,8800,-400.0
23,9600,-400.0
25,10400,-400.0
27,11200,-400.0
29,12000,-400.0
31,12800,-400.0
33,13600,-400.0
35,14400,-400.0
37,15200,-400.0
39,16000,-400.0
41,16800,-400.0
43,17600,-400.0
45,18400,-400.0
47,19200,-400.0
49,20000,-400.0
51,20800,-400.0
53,21600,-400.0
55,22400,-400.0
57,23200,-400.0
59,24000,-400.0
61,24800,-400.0
63,25600,-400.0
65,26400,-400.0
67,27200,-400.0
69,28000,-400.0
71,28800,-400.0
73,29600,-400.0
75,30400,-400.0
77,31200,-400.0
79,32000,-400.0
81,32800,-400.0
83,33600,-400.0
85,34400,-400.0
87,35200,-400.0
89,36000,-400.0
91,36800,-400.0
93,37600,-400.0
95,38400,-400.0
